DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2024-11-18,67.65,68.45,66.6,67.4,111.4,65.05,TTML
2024-11-14,67.92,68.78,67.3,67.61,111.4,65.05,TTML
2024-11-13,69.54,69.65,66.7,67.11,111.4,65.05,TTML
2024-11-12,70.5,71.51,69.0,69.53,111.4,65.05,TTML
2024-11-11,70.88,71.4,69.31,70.32,111.4,65.05,TTML
2024-11-08,72.5,72.8,70.45,70.89,111.4,65.05,TTML
2024-11-07,73.66,74.94,72.25,72.77,111.4,65.05,TTML
2024-11-06,72.6,74.0,71.7,73.53,111.4,65.05,TTML
2024-11-05,72.0,72.74,70.9,72.07,111.4,65.05,TTML
2024-11-04,76.2,76.86,71.55,72.21,111.4,65.05,TTML
2024-11-01,73.85,75.0,73.69,74.68,111.4,65.05,TTML
2024-10-31,72.5,73.9,71.81,73.45,111.4,65.05,TTML
2024-10-30,72.0,73.2,70.55,72.59,111.4,65.05,TTML
2024-10-29,71.03,72.23,69.81,70.81,111.4,65.05,TTML
2024-10-28,69.25,71.89,68.5,70.98,111.4,65.05,TTML
2024-10-25,72.69,73.2,68.25,69.17,111.4,65.05,TTML
2024-10-24,74.43,75.3,72.2,72.66,111.4,65.05,TTML
2024-10-23,73.19,75.35,70.61,74.43,111.4,65.05,TTML
2024-10-22,78.0,78.47,72.25,73.06,111.4,65.05,TTML
2024-10-21,80.33,81.83,76.5,77.57,111.4,65.05,TTML
2024-10-18,78.59,80.71,77.35,79.7,111.4,65.05,TTML
2024-10-17,81.05,81.36,78.69,79.1,111.4,65.05,TTML
2024-10-16,79.59,83.7,79.56,80.97,111.4,65.05,TTML
2024-10-15,80.81,81.38,79.26,79.67,111.4,65.05,TTML
2024-10-14,81.9,82.48,80.5,80.78,111.4,65.05,TTML
2024-10-11,83.7,83.7,81.65,81.9,111.4,65.05,TTML
2024-10-10,78.05,86.33,78.05,83.79,111.4,65.05,TTML
2024-10-09,80.5,81.49,79.02,79.22,111.4,65.05,TTML
2024-10-08,77.0,79.99,75.91,79.54,111.4,65.05,TTML
2024-10-07,81.95,82.5,76.22,77.1,111.4,65.05,TTML
2024-10-04,81.21,83.35,79.51,81.45,111.4,65.05,TTML
2024-10-03,84.0,84.45,81.0,81.26,111.4,65.05,TTML
2024-10-01,84.59,86.26,84.5,85.08,111.4,65.05,TTML
2024-09-30,84.5,85.25,83.13,84.5,111.4,65.05,TTML
2024-09-27,84.85,87.18,84.75,85.05,111.4,65.05,TTML
2024-09-26,85.33,85.82,84.2,84.54,111.4,65.05,TTML
2024-09-25,86.48,87.17,85.0,85.33,111.4,65.05,TTML
2024-09-24,87.0,87.45,86.12,86.48,111.4,65.05,TTML
2024-09-23,87.35,89.33,86.74,86.98,111.4,65.05,TTML
2024-09-20,87.6,88.39,86.21,86.98,111.4,65.05,TTML
2024-09-19,88.93,89.97,85.22,87.11,111.4,65.05,TTML
2024-09-18,89.99,90.73,88.16,88.48,111.4,65.05,TTML
2024-09-17,91.09,91.77,89.5,89.88,111.4,65.05,TTML
2024-09-16,92.09,92.89,90.9,91.05,111.4,65.05,TTML
2024-09-13,93.0,94.2,91.56,91.86,111.4,65.05,TTML
2024-09-12,91.05,94.2,90.01,92.93,111.4,65.05,TTML
2024-09-11,92.69,92.79,90.2,90.61,111.4,65.05,TTML
2024-09-10,91.5,93.38,91.35,92.67,111.4,65.05,TTML
2024-09-09,91.23,91.9,88.88,91.24,111.4,65.05,TTML
2024-09-06,93.8,94.65,91.0,91.23,111.4,65.05,TTML
2024-09-05,95.15,95.84,93.31,93.7,111.4,65.05,TTML
2024-09-04,95.0,96.56,94.05,94.66,111.4,65.05,TTML
2024-09-03,96.2,98.8,95.01,95.39,111.4,65.05,TTML
2024-09-02,97.2,98.44,94.66,95.85,111.4,65.05,TTML
2024-08-30,96.15,100.75,94.9,97.14,111.4,65.05,TTML
2024-08-29,97.1,99.51,94.8,95.81,111.4,65.05,TTML
2024-08-28,100.57,104.0,96.37,96.81,111.4,65.05,TTML
2024-08-27,92.33,102.85,92.21,100.57,111.4,65.05,TTML
2024-08-26,94.2,94.2,92.01,92.34,111.4,65.05,TTML
2024-08-23,95.5,95.9,93.1,93.94,111.4,65.05,TTML
2024-08-22,92.9,97.7,92.41,95.48,111.4,65.05,TTML
2024-08-21,93.4,94.35,92.21,92.39,111.4,65.05,TTML
2024-08-20,93.5,95.45,92.02,93.1,111.4,65.05,TTML
2024-08-19,89.0,94.22,89.0,93.27,111.4,65.05,TTML
2024-08-16,90.0,90.45,87.89,89.26,111.4,65.05,TTML
2024-08-14,90.78,90.98,87.03,88.55,111.4,65.05,TTML
2024-08-13,91.79,93.9,90.0,90.35,111.4,65.05,TTML
2024-08-12,91.9,92.9,90.54,91.26,111.4,65.05,TTML
2024-08-09,96.28,96.5,92.6,92.92,111.4,65.05,TTML
2024-08-08,92.0,98.3,91.28,94.22,111.4,65.05,TTML
2024-08-07,92.9,93.68,90.41,91.8,111.4,65.05,TTML
2024-08-06,93.47,94.95,89.0,89.76,111.4,65.05,TTML
2024-08-05,95.0,95.65,91.0,91.65,111.4,65.05,TTML
2024-08-02,91.89,99.95,90.9,97.99,111.4,65.05,TTML
2024-08-01,96.6,97.57,91.71,93.04,111.4,65.05,TTML
2024-07-31,100.1,100.44,95.5,96.13,111.4,65.05,TTML
2024-07-30,99.3,101.7,98.36,99.59,111.4,65.05,TTML
2024-07-29,103.95,104.7,98.01,98.66,111.4,65.05,TTML
2024-07-26,108.0,109.85,100.3,102.35,111.4,65.05,TTML
2024-07-25,102.85,109.44,101.1,106.07,111.4,65.05,TTML
2024-07-24,101.15,106.79,100.5,103.88,111.4,65.05,TTML
2024-07-23,103.47,108.5,85.0,99.83,111.4,65.05,TTML
2024-07-22,99.99,110.0,97.85,102.03,111.4,65.05,TTML
2024-07-19,98.85,111.4,93.4,102.14,111.4,65.05,TTML
2024-07-18,81.6,97.58,81.6,97.31,109.1,65.05,TTML
2024-07-16,77.99,83.71,77.81,81.32,109.1,65.05,TTML
2024-07-15,77.0,78.95,76.01,77.1,109.1,65.05,TTML
2024-07-12,75.1,78.9,74.55,76.69,109.1,65.05,TTML
2024-07-11,75.09,76.1,74.72,74.89,109.1,65.05,TTML
2024-07-10,75.8,76.9,74.35,74.93,109.1,65.05,TTML
2024-07-09,75.65,77.43,75.4,75.57,109.1,65.05,TTML
2024-07-08,76.32,76.8,75.36,75.61,109.1,65.05,TTML
2024-07-05,76.69,77.1,76.1,76.28,109.1,65.05,TTML
2024-07-04,76.91,77.93,76.5,76.69,109.1,65.05,TTML
2024-07-03,77.03,77.3,76.5,76.61,109.1,65.05,TTML
2024-07-02,78.4,78.42,76.5,76.63,109.1,65.05,TTML
2024-07-01,79.0,79.0,77.7,77.94,109.1,65.05,TTML
2024-06-28,78.75,79.3,77.52,77.73,109.1,65.05,TTML
2024-06-27,81.24,81.25,77.45,78.13,109.1,65.05,TTML
2024-06-26,77.42,82.34,76.93,80.71,109.1,65.05,TTML
2024-06-25,77.8,79.39,77.23,77.42,109.1,65.05,TTML
2024-06-24,78.0,79.37,77.05,77.38,109.1,65.05,TTML
2024-06-21,80.2,80.45,78.04,78.47,109.1,65.05,TTML
2024-06-20,77.0,81.2,76.81,79.96,109.1,65.05,TTML
2024-06-19,78.9,79.4,76.8,77.56,109.1,65.05,TTML
2024-06-18,79.0,79.75,78.22,78.49,109.1,65.05,TTML
2024-06-14,80.6,80.78,78.5,78.81,109.1,65.05,TTML
2024-06-13,81.6,81.9,79.54,80.16,109.1,65.05,TTML
2024-06-12,76.54,82.5,76.25,80.96,109.1,65.05,TTML
2024-06-11,74.6,77.78,74.36,76.25,109.1,65.05,TTML
2024-06-10,75.0,76.1,74.2,74.49,109.1,65.05,TTML
2024-06-07,74.85,75.4,73.6,74.65,109.1,62.8,TTML
2024-06-06,72.1,75.0,72.05,74.35,109.1,62.8,TTML
2024-06-05,70.75,72.6,68.4,71.5,109.1,62.8,TTML
2024-06-04,75.05,75.25,65.05,68.75,109.1,62.8,TTML
2024-06-03,76.6,77.8,74.85,75.25,109.1,62.8,TTML
2024-05-31,74.45,74.95,73.2,74.6,109.1,61.0,TTML
2024-05-30,74.6,75.15,73.55,73.9,109.1,61.0,TTML
2024-05-29,74.9,75.8,74.5,74.65,109.1,61.0,TTML
2024-05-28,76.1,77.0,75.05,75.15,109.1,61.0,TTML
2024-05-27,77.15,77.65,76.0,76.1,109.1,61.0,TTML
2024-05-24,77.4,78.4,76.6,76.85,109.1,60.2,TTML
2024-05-23,76.9,78.35,76.5,77.0,109.1,60.2,TTML
2024-05-22,77.4,78.15,76.45,76.7,109.1,60.2,TTML
2024-05-21,77.7,78.6,77.0,77.35,109.1,60.2,TTML
2024-05-18,78.0,78.3,77.15,77.7,109.1,60.2,TTML
2024-05-17,77.0,79.4,77.0,77.8,109.1,60.2,TTML
2024-05-16,78.2,78.6,76.4,76.85,109.1,60.2,TTML
2024-05-15,78.0,79.7,77.3,77.65,109.1,60.2,TTML
2024-05-14,75.4,78.2,75.3,77.75,109.1,60.2,TTML
2024-05-13,75.65,76.05,74.15,75.15,109.1,60.2,TTML
2024-05-10,76.25,76.45,74.65,75.9,109.1,60.2,TTML
2024-05-09,77.15,77.9,75.35,75.8,109.1,60.2,TTML
2024-05-08,77.15,78.35,76.95,77.1,109.1,60.2,TTML
2024-05-07,78.95,79.7,76.5,77.15,109.1,60.2,TTML
2024-05-06,80.75,81.25,78.5,78.85,109.1,60.2,TTML
2024-05-03,82.6,82.8,80.2,80.75,109.1,60.2,TTML
2024-05-02,82.25,83.2,81.55,82.0,109.1,60.2,TTML
2024-04-30,83.95,83.95,82.0,82.25,109.1,60.2,TTML
2024-04-29,82.5,84.9,82.45,83.5,109.1,60.2,TTML
2024-04-26,83.2,83.95,82.2,82.35,109.1,59.8,TTML
2024-04-25,85.3,85.5,82.9,83.35,109.1,59.8,TTML
2024-04-24,85.55,87.1,83.9,85.3,109.1,59.8,TTML
2024-04-23,78.3,89.75,78.2,84.9,109.1,59.8,TTML
2024-04-22,75.9,79.3,75.9,77.7,109.1,59.8,TTML
2024-04-19,75.05,75.85,74.5,75.2,109.1,59.5,TTML
2024-04-18,77.15,78.2,76.0,76.3,109.1,59.5,TTML
2024-04-16,76.0,77.3,75.55,76.55,109.1,59.5,TTML
2024-04-15,77.8,77.8,75.0,76.25,109.1,59.5,TTML
2024-04-12,80.3,80.75,78.15,78.5,109.1,59.5,TTML
2024-04-10,80.1,81.25,79.1,80.75,109.1,59.5,TTML
2024-04-09,81.2,81.3,79.2,80.1,109.1,59.5,TTML
2024-04-08,82.0,82.9,80.5,80.85,109.1,59.5,TTML
2024-04-05,81.85,82.35,80.35,81.55,109.1,53.6,TTML
2024-04-04,82.0,83.25,80.85,82.2,109.1,53.6,TTML
2024-04-03,81.0,82.25,80.55,81.4,109.1,53.6,TTML
2024-04-02,79.5,82.3,78.3,81.4,109.1,53.6,TTML
2024-04-01,74.6,79.8,74.6,79.15,109.1,53.6,TTML
2024-03-28,75.5,76.8,73.5,74.0,109.1,49.65,TTML
2024-03-27,76.95,77.95,74.25,74.9,109.1,49.65,TTML
2024-03-26,78.35,79.75,76.1,76.65,109.1,49.65,TTML
2024-03-22,78.45,80.2,78.25,78.55,109.1,49.65,TTML
2024-03-21,79.2,80.7,77.85,78.25,109.1,49.65,TTML
2024-03-20,78.2,79.8,76.85,78.1,109.1,49.65,TTML
2024-03-19,80.0,80.25,76.9,77.4,109.1,49.65,TTML
2024-03-18,79.55,82.25,79.4,80.0,109.1,49.65,TTML
2024-03-15,80.9,82.2,78.0,79.05,109.1,49.65,TTML
2024-03-14,74.25,81.3,73.5,80.65,109.1,49.65,TTML
2024-03-13,81.1,83.55,73.15,74.2,109.1,49.65,TTML
2024-03-12,85.6,86.25,81.0,81.45,109.1,49.65,TTML
2024-03-11,90.3,90.3,85.0,85.6,109.1,49.65,TTML
2024-03-07,83.65,91.15,83.55,89.95,109.1,49.65,TTML
2024-03-06,85.9,86.3,81.0,83.35,109.1,49.65,TTML
2024-03-05,86.65,87.4,85.5,85.8,109.1,49.65,TTML
2024-03-04,88.0,88.45,86.3,86.65,109.1,49.65,TTML
2024-03-02,87.3,88.2,87.0,87.85,109.1,49.65,TTML
2024-03-01,87.65,88.9,86.75,87.3,109.1,49.65,TTML
2024-02-29,86.75,88.75,84.45,87.45,109.1,49.65,TTML
2024-02-28,89.0,89.45,86.2,86.6,109.1,49.65,TTML
2024-02-27,89.15,91.75,88.4,89.0,109.1,49.65,TTML
2024-02-26,90.25,90.3,88.6,89.1,109.1,49.65,TTML
2024-02-23,90.8,91.2,89.5,89.9,109.1,49.65,TTML
2024-02-22,89.35,91.3,88.3,90.45,109.1,49.65,TTML
2024-02-21,91.6,92.0,88.45,88.9,109.1,49.65,TTML
2024-02-20,92.2,92.7,90.9,91.25,109.1,49.65,TTML
2024-02-19,91.25,93.3,90.9,92.0,109.1,49.65,TTML
2024-02-16,92.95,93.4,90.1,90.75,109.1,49.65,TTML
2024-02-15,93.0,94.4,91.7,92.5,109.1,49.65,TTML
2024-02-14,89.15,93.4,88.6,92.4,109.1,49.65,TTML
2024-02-13,89.25,91.65,87.0,91.05,109.1,49.65,TTML
2024-02-12,99.35,99.45,88.1,89.3,109.1,49.65,TTML
2024-02-09,105.2,106.6,93.7,98.25,109.1,49.65,TTML
2024-02-08,96.75,105.2,95.75,103.75,109.1,49.65,TTML
2024-02-07,92.35,98.75,92.2,96.1,109.1,49.65,TTML
2024-02-06,93.2,94.5,91.2,92.1,109.1,49.65,TTML
2024-02-05,93.0,97.0,91.4,92.75,109.1,49.65,TTML
2024-02-02,91.45,95.8,91.1,92.35,109.1,49.65,TTML
2024-02-01,93.15,93.6,90.5,90.8,109.1,49.65,TTML
2024-01-31,88.75,94.45,88.3,92.7,109.1,49.65,TTML
2024-01-30,90.65,91.05,88.2,88.55,109.1,49.65,TTML
2024-01-29,91.05,92.8,89.1,90.2,109.1,49.65,TTML
2024-01-25,89.85,93.3,89.65,91.0,109.1,49.65,TTML
2024-01-24,87.15,91.6,86.3,89.9,109.1,49.65,TTML
2024-01-23,89.65,93.1,86.05,87.25,109.1,49.65,TTML
2024-01-20,89.75,92.25,89.15,89.4,109.1,49.65,TTML
2024-01-19,90.35,91.45,89.05,89.35,109.1,49.65,TTML
2024-01-18,88.6,90.25,85.85,89.35,109.1,49.65,TTML
2024-01-17,89.75,90.25,88.3,88.6,109.1,49.65,TTML
2024-01-16,92.95,93.6,89.3,90.65,109.1,49.65,TTML
2024-01-15,94.2,94.8,92.55,92.9,109.1,49.65,TTML
2024-01-12,93.7,95.6,93.35,93.7,109.1,49.65,TTML
2024-01-11,94.1,95.4,92.7,93.0,109.1,49.65,TTML
2024-01-10,95.05,95.3,92.7,93.65,109.1,49.65,TTML
2024-01-09,95.85,99.25,92.55,95.4,109.1,49.65,TTML
2024-01-08,92.0,98.85,90.9,94.8,109.1,49.65,TTML
2024-01-05,92.1,94.0,91.35,91.6,109.1,49.65,TTML
2024-01-04,91.15,94.25,91.1,91.8,109.1,49.65,TTML
2024-01-03,91.2,92.3,90.45,90.7,109.1,49.65,TTML
2024-01-02,91.7,92.4,90.45,91.25,109.1,49.65,TTML
2024-01-01,91.7,92.75,91.1,91.4,109.1,49.65,TTML
2023-12-29,91.15,92.9,90.35,91.65,109.1,49.65,TTML
2023-12-28,92.65,92.7,90.65,90.95,109.1,49.65,TTML
2023-12-27,90.75,94.05,90.6,92.05,109.1,49.65,TTML
2023-12-26,92.15,92.45,89.8,90.25,109.1,49.65,TTML
2023-12-22,90.45,93.45,90.45,92.0,109.1,49.65,TTML
2023-12-21,88.2,91.3,87.2,89.5,109.1,49.65,TTML
